cjpeg_divide_by_zero_trace,786,778,325,778,328,778,104,805
cjpeg_heap_buffer_overflow_trace,933,933,325,933,325,933,126,946
ezxml_trace,1812,1803,416,1807,413,1807,218,1826
fls_trace,10646,10646,2594,10646,2594,10646,1068,10666
img2sixel_trace,2604,2604,724,2604,724,2604,1619,7570
lua_trace,11239,11239,2412,11240,2417,11240,1430,7519
matdump_trace,1472,1472,421,1472,421,1472,176,1477
mruby_heap_buffer_overflow_trace,34415,34415,7391,34415,7402,34415,2254,34607
mruby_integer_overflow_trace,36353,36353,7823,36354,7823,36354,2443,36568
mruby_trace,28033,28033,6050,28033,6015,28033,2263,15046
mruby_uninitialized_variable_trace,34985,34985,7544,34985,7531,34985,2331,35182
nm_trace,5453,5458,1482,5464,1482,5464,1412,6636
patch_trace,4331,4331,1166,4331,1202,4331,1659,7769
perl_trace,25882,25882,11006,25885,11006,25884,3634,19412
pngimage_trace,3846,3846,952,3846,938,3846,410,3888
python_trace,66744,66744,26936,66730,26936,66730,11649,66974
readelf_trace,5090,5090,1519,5092,1525,5092,1388,5660
tcpdump_trace,8222,8177,1932,8177,1939,8177,1752,8757
xmllint_trace,17990,17990,4725,17989,4713,17990,1993,10187
ziptool_trace,4245,4245,1094,4246,1094,4246,1350,6302
cjpeg_divide_by_zero_trace,786,778,325,778,328,778,104,805
cjpeg_heap_buffer_overflow_trace,933,933,325,933,325,933,126,946
